"filename","truth","trainingset"
1,5,0
2,4,1
3,5,0
4,5,1
5,5,1
6,5,0
7,5,1
8,5,1
9,4,1
10,5,0
11,4,1
12,5,0
13,5,1
14,4,1
15,4,0
16,4,1
17,3,0
18,4,0
19,5,0
20,5,1
21,5,1
22,4,1
23,5,1
24,5,1
25,3,1
26,2,1
27,5,1
28,5,1
29,5,0
30,5,0
31,5,1
32,5,1
33,5,1
34,5,1
35,5,0
36,3,0
37,5,1
38,5,0
39,5,0
40,5,0
41,5,0
42,4,0
43,5,0
44,5,0
45,5,0
46,5,0
47,5,0
48,3,0
49,5,0
50,5,1
51,5,0
52,4,0
53,5,1
54,5,0
55,5,1
56,5,0
57,4,0
58,5,1
59,3,1
60,5,0
61,5,1
62,5,0
63,5,0
64,5,0
65,5,1
66,5,0
67,5,1
68,4,1
69,5,1
70,5,0
71,5,1
72,5,1
73,3,1
74,5,0
75,4,0
76,5,0
77,4,0
78,5,1
79,4,0
80,5,0
81,4,0
82,4,1
83,5,0
84,4,1
85,5,0
86,5,0
87,4,1
88,5,1
89,4,1
90,5,0
91,5,0
92,5,1
93,5,0
94,5,1
95,4,0
96,5,0
97,5,1
98,2,0
99,5,0
100,4,1
101,4,1
102,4,0
103,4,0
104,5,1
105,5,0
106,5,1
107,3,1
108,5,1
109,5,0
110,5,0
111,4,1
112,5,0
113,5,0
114,5,1
115,5,1
116,4,0
117,5,1
118,5,1
119,5,1
120,5,0
121,5,1
122,5,0
123,5,0
124,5,0
125,5,0
126,5,1
127,5,0
128,5,0
129,4,0
130,1,1
131,5,1
132,5,1
133,5,1
134,5,1
135,5,1
136,5,1
137,5,1
138,5,1
139,5,1
140,5,0
141,5,0
142,5,0
143,5,0
144,4,0
145,4,1
146,5,0
147,2,0
148,5,0
149,5,0
150,4,1
151,5,1
152,4,0
153,5,0
154,5,0
155,5,0
156,5,0
157,5,1
158,5,0
159,5,0
160,4,0
161,5,1
162,5,0
163,5,1
164,5,0
165,5,0
166,5,1
167,5,1
168,5,0
169,5,0
170,5,0
171,5,1
172,5,0
173,5,1
174,5,1
175,5,1
176,5,1
177,3,0
178,4,1
179,4,1
180,5,1
181,5,1
182,5,0
183,4,1
184,4,0
185,5,1
186,5,0
187,5,0
188,5,1
189,3,1
190,4,1
191,3,0
192,5,0
193,4,1
194,4,1
195,5,1
196,2,0
197,5,0
198,5,1
199,5,0
200,5,1
201,5,0
202,5,1
203,3,1
204,5,1
205,5,0
206,5,1
207,5,0
208,4,0
209,5,0
210,5,0
211,5,0
212,5,0
213,4,0
214,2,1
215,5,0
216,4,1
217,4,0
218,4,0
219,3,1
220,5,1
221,5,0
222,5,1
223,4,1
224,5,1
225,4,0
226,5,0
227,4,0
228,5,1
229,5,1
230,2,1
231,4,1
232,5,0
233,5,1
234,4,0
235,5,0
236,4,0
237,5,0
238,5,1
239,5,0
240,5,1
241,5,1
242,5,1
243,5,0
244,5,1
245,5,0
246,2,1
247,4,0
248,4,1
249,5,1
250,4,1
251,5,0
252,4,0
253,4,1
254,4,0
255,3,1
256,5,1
257,5,0
258,5,0
259,5,0
260,5,1
261,5,1
262,5,1
263,5,1
264,5,1
265,5,1
266,5,1
267,5,0
268,5,0
269,4,0
270,5,1
271,5,1
272,4,0
273,5,0
274,5,0
275,5,1
276,5,1
277,5,1
278,5,0
279,5,0
280,5,1
281,5,1
282,5,0
283,5,0
284,2,0
285,5,0
286,5,0
287,5,0
288,4,0
289,4,0
290,5,1
291,3,0
292,5,0
293,4,0
294,5,1
295,5,1
296,4,1
297,3,1
298,5,0
299,5,0
300,5,1
301,4,1
302,4,0
303,5,1
304,5,1
305,5,1
306,5,0
307,3,0
308,4,0
309,2,0
310,5,0
311,5,0
312,5,0
313,2,1
314,5,0
315,4,0
316,5,1
317,3,1
318,5,0
319,5,0
320,5,1
321,5,1
322,5,0
323,4,0
324,3,1
325,1,0
326,5,0
327,5,1
328,5,0
329,5,0
330,5,1
331,3,1
332,5,0
333,5,1
334,5,1
335,5,0
336,5,0
337,5,1
338,1,1
339,5,1
340,5,1
341,5,0
342,5,0
343,5,1
344,5,0
345,5,0
346,5,0
347,5,1
348,5,0
349,5,0
350,5,1
351,5,0
352,5,1
353,5,1
354,5,0
355,4,1
356,5,1
357,4,1
358,4,0
359,4,0
360,4,1
361,5,0
362,2,0
363,5,1
364,5,0
365,5,0
366,5,1
367,4,0
368,4,0
369,5,0
370,5,0
371,5,0
372,4,0
373,1,1
374,1,0
375,4,1
376,5,1
377,5,1
378,5,0
379,5,0
380,4,1
381,5,1
382,4,1
383,4,0
384,5,1
385,4,1
386,5,1
387,4,0
388,5,0
389,1,0
390,5,0
391,5,1
392,5,0
393,4,1
394,5,1
395,5,0
396,3,0
397,4,0
398,5,0
399,5,0
400,5,1
401,5,1
402,3,0
403,5,1
404,5,1
405,5,0
406,3,0
407,5,1
408,5,0
409,5,0
410,5,1
411,3,0
412,5,1
413,5,0
414,5,0
415,5,0
416,3,0
417,4,1
418,4,0
419,5,0
420,5,0
421,4,1
422,2,1
423,5,1
424,5,0
425,5,1
426,5,1
427,5,0
428,4,0
429,5,0
430,5,1
431,4,1
432,1,1
433,4,0
434,5,1
435,5,0
436,1,1
437,4,0
438,5,0
439,5,0
440,5,0
441,3,0
442,5,1
443,3,1
444,3,0
445,5,1
446,3,1
447,5,1
448,5,0
449,5,0
450,5,1
451,4,1
452,5,0
453,3,0
454,4,0
455,3,0
456,5,1
457,5,1
458,5,1
459,5,0
460,5,0
461,5,1
462,4,0
463,5,0
464,5,0
465,5,1
466,5,0
467,5,0
468,4,1
469,5,0
470,5,1
471,5,0
472,5,1
473,5,0
474,5,1
475,4,1
476,5,0
477,5,1
478,5,0
479,4,0
480,5,1
481,5,0
482,5,1
483,5,0
484,5,1
485,5,1
486,5,0
487,5,0
488,5,1
489,5,0
490,5,1
491,5,1
492,5,0
493,5,0
494,4,1
495,5,0
496,5,1
497,4,0
498,5,0
499,5,1
500,5,1
